DATE,WEI
2019-07-13,1.54
2019-07-20,1.84
2019-07-27,1.69
2019-08-03,1.82
2019-08-10,1.62
2019-08-17,1.58
2019-08-24,1.62
2019-08-31,1.48
2019-09-07,1.72
2019-09-14,1.54
2019-09-21,1.37
2019-09-28,1.55
2019-10-05,1.53
2019-10-12,1.39
2019-10-19,1.54
2019-10-26,1.46
2019-11-02,1.58
2019-11-09,1.49
2019-11-16,1.28
2019-11-23,2.25
2019-11-30,1.46
2019-12-07,0.94
2019-12-14,1.39
2019-12-21,1.83
2019-12-28,1.94
2020-01-04,1.71
2020-01-11,1.22
2020-01-18,1.49
2020-01-25,1.62
2020-02-01,2.01
2020-02-08,1.85
2020-02-15,1.56
2020-02-22,1.5
2020-02-29,1.55
2020-03-07,1.42
2020-03-14,1.07
2020-03-21,-3.31
2020-03-28,-7.04
2020-04-04,-9.01
2020-04-11,-10.9
2020-04-18,-11.29
2020-04-25,-11.45
2020-05-02,-11.32
2020-05-09,-10.54
2020-05-16,-10.45
2020-05-23,-9.82
2020-05-30,-9.55
2020-06-06,-9.19
2020-06-13,-8.53
2020-06-20,-7.85
2020-06-27,-7.62
2020-07-04,-7.19
2020-07-11,-6.96
2020-07-18,-7.6
2020-07-25,-7.2
2020-08-01,-6.76
2020-08-08,-6.07
2020-08-15,-6.15
2020-08-22,-5.31
2020-08-29,-4.81
2020-09-05,-5.08
2020-09-12,-5.93
2020-09-19,-4.97
2020-09-26,-4.9
2020-10-03,-4.35
2020-10-10,-4.04
2020-10-17,-4.03
2020-10-24,-3.51
2020-10-31,-3.18
2020-11-07,-2.96
2020-11-14,-3.01
2020-11-21,-2.87
2020-11-28,-2.09
2020-12-05,-2.47
2020-12-12,-2.72
2020-12-19,-1.94
2020-12-26,-0.64
2021-01-02,-1.88
2021-01-09,-1.66
2021-01-16,-1.94
2021-01-23,-1.88
2021-01-30,-1.88
2021-02-06,-1.98
2021-02-13,-1.43
2021-02-20,-2.66
2021-02-27,-1.55
2021-03-06,-0.59
2021-03-13,-1.15
